element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""10283.11563""","=""0.00016""","=""10283.11557""","=""0.00006""","=""910""","=""""",,"=""0.9301651190""","=""2.135541319""","=""6d3.(4F).7s""","=""5F""","=""3""","=""6d2.7s.7p""","=""5F*""","=""2""",,"=""""","=""L5951""",
Fe,2,"=""10283.3435""","=""0.0006""","=""10283.3427""","=""0.0008""","=""8""","=""3.2e+05""",E,"=""12.2815138""","=""13.4868634""","=""3d6.(3P2).5s""","=""4P""","=""1/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
V,1,"=""10283.40""","=""0.10""","=""10283.282""","=""0.004""","=""1500?""","=""""",,"=""1.05091908""","=""2.25627573""","=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""5/2""",,"=""""","=""L14162""",
Fe,1,"=""10283.778""","=""0.003""","=""10283.7753""","=""0.0015""","=""40""","=""""",,"=""5.50628207""","=""6.71158094""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""""","=""L11631""",
La,3,"=""10284.79""","=""0.10""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L245""",
F,1,"=""10285.45""","=""0.05""","=""10285.48+""","=""0.15""","=""15""","=""9.8e+06""",D+,"=""14.371989""","=""15.577088""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).4s""","=""4P""","=""5/2""",,"=""T7663""","=""L7481""",
Th,1,"=""10285.4838""","=""0.0012""","=""10285.48391""","=""0.00011""","=""37""","=""""",,"=""2.212755599""","=""3.417854251""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Cr,2,"=""10286.057""","=""0.002""","=""10286.060""","=""0.003""","=""3""","=""""",,"=""13.10818628""","=""14.31321742""","=""3d4.(5D<3>).4f""","=""2[4]*""","=""7/2""","=""3d4.(5D<1>).5g""","=""2[5]""","=""9/2""",,"=""""","=""L18847""",
Ti,2,"=""10286.729""","=""0.008""","=""10286.734""","=""0.003""","=""12""","=""""",,"=""9.15012937""","=""10.3550815""","=""3d2.(3F).5p""","=""2F*""","=""7/2""","=""3d2.(3F).6s""","=""2F""","=""7/2""",,"=""""","=""u37""",
V,1,"=""10288.81""","=""0.10""","=""10288.885""","=""0.007""","=""370""","=""""",,"=""4.21135069""","=""5.4160510&dagger;""","=""3d3.(4P).4s.4p.(3P*)""","=""w 4D*""","=""1/2""","=""3d3.4s.(5F).4d""","=""4D""","=""3/2""",,"=""""","=""L4236""",
Th,2,"=""10288.9913""","=""0.0005""","=""10288.99114""","=""0.00017""","=""120""","=""""",,"=""0.230602975""","=""1.435290843""","=""6d2.(3F).7s""","=""4F""","=""3/2""","=""5f.6d.(1D*).7s""","=""2D*""","=""3/2""",,"=""""","=""L5951""",
Ti,2,"=""10289.534""","=""0.002""","=""10289.5341""","=""0.0010""","=""87""","=""""",,"=""7.73797320""","=""8.94259749""","=""3d2.(3F).5s""","=""e 4F""","=""7/2""","=""3d2.(3F).5p""","=""4F*""","=""9/2""",,"=""""","=""u37""",
Ti,2,"=""10290.083""","=""0.002""","=""10290.0839""","=""0.0017""","=""590""","=""""",,"=""7.83196911""","=""9.03652905""","=""3d2.(3F).5s""","=""e 2F""","=""5/2""","=""3d2.(3F).5p""","=""2G*""","=""7/2""",,"=""""","=""u37""",
Pb,1,"=""10290.4584""","=""0.0010""","=""10290.4584""","=""0.0009""","=""200""","=""""",,"=""4.33447622""","=""5.53899232""","=""6s2.6p.7s""","=""(1/2,1/2)*""","=""0""","=""6s2.6p.7p""","=""(1/2,3/2)""","=""1""",,"=""""","=""L50""",
Bk,1,"=""10292.44""","=""0.10""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3610""",
F,1,"=""10293.01""","=""0.05""","=""10293.02+""","=""0.15""","=""35""","=""3.09e+06""",C+,"=""14.683178""","=""15.887395""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""2D""","=""5/2""",,"=""T7043""","=""L7481""",
Th,1,"=""10293.04862""","=""0.00022""","=""10293.04866""","=""0.00008""","=""500""","=""""",,"=""1.761104381""","=""2.965317362""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Hf,1,"=""10293.33""","=""0.15""","=""10293.176""","=""0.012""","=""34""","=""""",,"=""4.85942911""","=""6.0636272""","=""5d2.(b 1D).6s.(b 2D).6p""","=""v 3D*""","=""3""","=""5d4""","=""h 3D""","=""2""",,"=""""","=""L16323""",
Fe,2,"=""10293.340""","=""0.004""","=""10293.3345""","=""0.0006""","=""1.1""","=""""",,"=""12.1646572""","=""13.3688367""","=""3d6.(3P2).5s""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c139""",
Th,1,"=""10294.710""","=""0.003""","=""10294.70842""","=""0.00013""","=""390""","=""""",,"=""2.226743183""","=""3.430762016""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Ne,1,"=""10295.4162""","=""0.0011""","=""10295.4174""","=""0.0010""","=""420""","=""1.46e+05""",C+,"=""18.57583601""","=""19.77977193""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
V,1,"=""10295.46""","=""0.10""","=""10295.5277""","=""0.0015""","=""690""","=""""",,"=""3.05597666""","=""4.25989968""","=""3d4.(5D).4p""","=""z 6P*""","=""3/2""","=""3d5""","=""c 4D""","=""5/2""",,"=""""","=""L4236""",
Hg,1,"=""10296.8""","=""0.4""","=""10296.55""","=""0.21""","=""10d""","=""""",,"=""8.8519849""","=""10.055788""","=""5d10.6s.6d""","=""3D""","=""2""","=""5d10.6s.7f""","=""3F*""","=""3""",,"=""""","=""L15167c86""",
Kr,1,"=""10296.93""","=""0.10""","=""10296.9738+""","=""0.0015""","=""80""","=""""",,"=""11.66602815""","=""12.86978209""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""""","=""L6099""",
Cu,2,"=""10297.40""","=""0.03""","=""10297.147""","=""0.005""","=""56?""","=""""",,"=""16.9478896""","=""18.1516233""","=""3d8.(1G).4s.4p.(3P*)""","=""3H*""","=""4""","=""3d9.(2D<5/2>).6d""","=""2[9/2]""","=""5""",,"=""""","=""L869c171,c153""",
Fe,2,"=""10297.662""","=""0.003""","=""10297.6657""","=""0.0014""","=""1.8""","=""""",,"=""12.8156139""","=""14.0192870""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""","=""3d6.(5D<4>).5g""","=""2[3]""","=""5/2""",,"=""""","=""L18349c139""",
Ar,2,"=""10299.0887""","=""0.0006""","=""10299.0889""","=""0.0006""","=""43""","=""""",,"=""22.94864813""","=""24.15215486""","=""3s2.3p4.(3P).4d""","=""4F""","=""9/2""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L11520""",
Mg,1,"=""10299.29""","=""0.10""","=""10299.24""","=""0.10""","=""5""","=""5.28e+05""",C,"=""6.1182146""","=""7.321703""","=""3s.4p""","=""1P*""","=""1""","=""3s.8s""","=""1S""","=""0""",,"=""T5539""","=""L4832""",
Br,1,"=""10299.62""","=""0.03""","=""10299.62+""","=""0.15""","=""1000""","=""""",,"=""8.551216""","=""9.754661""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""",,"=""""","=""L351""",
Th,1,"=""10299.8698""","=""0.0007""","=""10299.86953""","=""0.00018""","=""72""","=""""",,"=""2.444104358""","=""3.647519877""","=""6d3.(2F).7s""","=""3F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Te,1,"=""10300.561""","=""0.005""","=""10300.559""","=""0.008""","=""2400""","=""""",,"=""7.0475765""","=""8.2509115""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""3D""","=""3""",,"=""""","=""L3682""",
Bi,1,"=""10300.642""","=""0.006""","=""10300.641+""","=""0.015""","=""11""","=""""",,"=""5.5625605""","=""6.7658859""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",,"=""""","=""L6416,L7407""",
Th,2,"=""10301.16633""","=""0.00024""","=""10301.16640""","=""0.00017""","=""430""","=""""",,"=""0.509991558""","=""1.713255573""","=""6d.(2D).7s2""","=""""","=""5/2""","=""5f.6d.(3F*).7s""","=""*""","=""7/2""",,"=""""","=""L5951""",
Th,1,"=""10301.3899""","=""0.0011""","=""10301.3904""","=""0.0003""","=""39""","=""""",,"=""3.271313846""","=""4.47455170""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Pr,3,"=""10301.58""","=""0.10""","=""""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2466""",
Th,1,"=""10304.0753""","=""0.0004""","=""10304.07547""","=""0.00019""","=""160""","=""""",,"=""2.769682369""","=""3.97260668""","=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Th,2,"=""10304.8123""","=""0.0010""","=""10304.81189""","=""0.00018""","=""48""","=""""",,"=""1.286847256""","=""2.489685598""","=""6d2.(1G).7s""","=""""","=""9/2""","=""5f.6d.(1F*).7s""","=""*""","=""7/2""",,"=""""","=""L5951""",
Fe,2,"=""10305.326""","=""0.003""","=""10305.3276""","=""0.0007""","=""1.3""","=""9.e+04""",D+,"=""11.4474493""","=""12.6502274""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""","=""3d6.(5D).6s""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Ar,2,"=""10305.6350""","=""0.0009""","=""10305.6346""","=""0.0004""","=""25""","=""""",,"=""23.48728630""","=""24.690028614""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
W,1,"=""10306.04""","=""0.10""","=""10305.901""","=""0.117""","=""0""","=""""",,"=""2.601563""","=""3.804274""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Se,1,"=""10307.45""","=""0.10""","=""""","=""""","=""377""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
Fe,1,"=""10307.454""","=""0.003""","=""10307.4537""","=""0.0015""","=""38""","=""""",,"=""4.59311043""","=""5.79564049""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,"=""""","=""L11631""",
Th,1,"=""10307.4996""","=""0.0010""","=""10307.4994""","=""0.0003""","=""48""","=""""",,"=""3.208401254""","=""4.41092598""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Fe,2,"=""10307.8510""","=""0.0015""","=""10307.8480""","=""0.0014""","=""2.1""","=""3.8e+05""",E,"=""12.3455088""","=""13.5479929""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2I*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Cs,2,"=""10308.0959""","=""0.0015""","=""10308.0962""","=""0.0013""","=""2700""","=""""",,"=""19.35696505""","=""20.55942016""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L12126""",
Fe,2,"=""10308.361""","=""0.002""","=""10308.3645""","=""0.0012""","=""1.7""","=""""",,"=""12.8188939""","=""14.0213177""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""","=""3d6.(5D<4>).5g""","=""2[2]""","=""3/2""",,"=""""","=""L18349c139""",
Th,1,"=""10308.54369""","=""0.00011""","=""10308.54370""","=""0.00009""","=""1900""","=""""",,"=""2.477968921""","=""3.680371824""","=""5f.6d2.7s""","=""5H*""","=""6""","=""5f.6d.7s.7p""","=""5H""","=""5""",,"=""""","=""L5951""",
Th,1,"=""10309.8125""","=""0.0012""","=""10309.8118""","=""0.0004""","=""33""","=""""",,"=""3.358046648""","=""4.56030166""","=""""","=""*""","=""6""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Fe,2,"=""10310.096""","=""0.005""","=""10310.1027""","=""0.0010""","=""0.7""","=""""",,"=""12.8207506""","=""14.0229717""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""","=""3d6.(5D<4>).5g""","=""2[1]""","=""3/2""",,"=""""","=""L18349c139""",
Cm,1,"=""10310.83""","=""0.10""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3587""",
Fe,2,"=""10310.876""","=""0.004""","=""10310.8566""","=""0.0010""","=""0.7bl(Fe II)*""","=""3.0e+04""",D,"=""11.7394541""","=""12.9415873""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).5d""","=""6F""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""10310.876""","=""0.004""","=""10310.9017""","=""0.0017""","=""0.7bl(Fe II)*""","=""""",,"=""5.60488800""","=""6.8070159""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""",,"=""""","=""L18349c148""",
Fe,2,"=""10311.133""","=""0.006""","=""10311.1055""","=""0.0013""","=""0.5""","=""""",,"=""11.6529591""","=""12.8550633""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""","=""3d6.(5D).5d""","=""4F""","=""9/2""",,"=""""","=""L18349c145""",
Hf,1,"=""10312.19""","=""0.15""","=""10312.01""","=""0.03""","=""35""","=""""",,"=""5.099944""","=""6.301943""","=""5d2.(a 3P).6s.(a 2P).6p""","=""w 3P*""","=""0""","=""""","=""5083""","=""1""",,"=""""","=""L16323""",
Mg,1,"=""10312.531""","=""0.010""","=""10312.524""","=""0.010""","=""12""","=""2.33e+05""",C+,"=""6.1182146""","=""7.3201534""","=""3s.4p""","=""1P*""","=""1""","=""3s.7d""","=""1D""","=""2""",,"=""T5539""","=""L4832""",
Cs,2,"=""10313.6937""","=""0.0017""","=""10313.6942""","=""0.0012""","=""1600""","=""""",,"=""19.47434987""","=""20.67615231""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
Fe,2,"=""10314.335""","=""0.003""","=""10314.3395""","=""0.0013""","=""1.2""","=""""",,"=""12.8221898""","=""14.0239170""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""","=""3d6.(5D<4>).5g""","=""2[0]""","=""1/2""",,"=""""","=""L18349c139""",
Th,1,"=""10314.8934""","=""0.0004""","=""10314.89354""","=""0.00016""","=""160""","=""""",,"=""2.519639824""","=""3.721302531""","=""5f.6d.7s2""","=""1H*""","=""5""","=""6d4""","=""""","=""4""",,"=""""","=""L5951""",
Fe,2,"=""10315.006""","=""0.003""","=""10315.0142""","=""0.0011""","=""1.4""","=""""",,"=""12.8156139""","=""14.0172626""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""","=""3d6.(5D<4>).5g""","=""2[4]""","=""7/2""",,"=""""","=""L18349c139""",
Cr,2,"=""10315.3628""","=""0.0012""","=""10315.363""","=""0.003""","=""4""","=""""",,"=""13.14630927""","=""14.34791725""","=""3d4.(5D<4>).4f""","=""2[6]*""","=""11/2""","=""3d4.(5D<3>).5g""","=""2[7]""","=""13/2""",,"=""""","=""L18847""",
Th,2,"=""10316.0109""","=""0.0013""","=""10316.0121""","=""0.0003""","=""30""","=""""",,"=""1.26328328""","=""2.464815692""","=""5f.6d.(3H*).7s""","=""4H*""","=""11/2""","=""6d3""","=""2G""","=""9/2""",,"=""""","=""L5951""",
Th,1,"=""10316.89048""","=""0.00015""","=""10316.89051""","=""0.00007""","=""1000""","=""""",,"=""2.169869268""","=""3.371299378""","=""5f.6d2.7s""","=""5I*""","=""5""","=""5f.6d.7s.7p""","=""5G""","=""5""",,"=""""","=""L5951""",
Th,1,"=""10317.3573""","=""0.0007""","=""10317.35745""","=""0.00017""","=""73""","=""""",,"=""2.486474731""","=""3.687850466""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Fe,2,"=""10317.412""","=""0.004""","=""10317.4168""","=""0.0006""","=""0.9""","=""""",,"=""12.0893786""","=""13.2907474""","=""3d6.(3P2).5s""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""7/2""",,"=""""","=""L18349c139""",
Ti,2,"=""10319.171""","=""0.002""","=""10319.1724""","=""0.0012""","=""120""","=""""",,"=""7.72079212""","=""8.92195655""","=""3d2.(3F).5s""","=""e 4F""","=""5/2""","=""3d2.(3F).5p""","=""4F*""","=""7/2""",,"=""""","=""u37""",
Hf,1,"=""10319.65""","=""0.05""","=""10319.687""","=""0.005""","=""70""","=""""",,"=""3.91924234""","=""5.1203469""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""","=""5d2.(3F).6s.(a 4F).7s""","=""d 3F""","=""2""",,"=""""","=""L16323""",
Ti,2,"=""10319.728""","=""0.002""","=""10319.7285""","=""0.0017""","=""680""","=""""",,"=""7.86630473""","=""9.06740444""","=""3d2.(3F).5s""","=""e 2F""","=""7/2""","=""3d2.(3F).5p""","=""2G*""","=""9/2""",,"=""""","=""u37""",
Fe,2,"=""10320.768""","=""0.002""","=""10320.7656""","=""0.0012""","=""2""","=""1.2e+04""",D,"=""11.4868373""","=""12.6878163""","=""3d6.(3F1).4p""","=""4D*""","=""3/2""","=""3d6.(5D).6s""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Hg,1,"=""10320.8""","=""1.0""","=""10320.68""","=""0.05""","=""0.5""","=""""",,"=""8.8445374""","=""10.045526""","=""5d10.6s.6d""","=""3D""","=""1""","=""5d10.6s.10p""","=""3P*""","=""2""",,"=""""","=""L15170c86""",
Fe,2,"=""10322.456""","=""0.003""","=""10322.4600""","=""0.0011""","=""1.1""","=""""",,"=""12.8221898""","=""14.0229717""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""","=""3d6.(5D<4>).5g""","=""2[1]""","=""3/2""",,"=""""","=""L18349c139""",
Kr,1,"=""10322.88""","=""0.10""","=""10323.0024+""","=""0.0015""","=""2""","=""""",,"=""12.14042693""","=""13.34114571""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""""","=""L6099""",
Ti,1,"=""10322.934""","=""0.013""","=""10322.931""","=""0.004""","=""5""","=""""",,"=""3.1540226""","=""4.3547497""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d4""","=""3F2""","=""2""",,"=""""","=""L10989""",
Fe,2,"=""10322.952""","=""0.002""","=""10322.928""","=""0.003""","=""2.7""","=""""",,"=""11.5909917""","=""12.7917192""","=""3d6.(3F1).4p""","=""u 4F*""","=""7/2""","=""3d6.(3G).5s""","=""f 4G""","=""5/2""",,"=""""","=""L18349c145""",
Te,1,"=""10323.046""","=""0.005""","=""10323.046""","=""0.008""","=""1100""","=""""",,"=""6.8042615""","=""8.0049752""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""3F""","=""2""",,"=""""","=""L3682""",
Fe,2,"=""10323.4592""","=""0.0020""","=""10323.4620""","=""0.0018""","=""6bl(Ne)""","=""2.1e+05""",D+,"=""9.7359140""","=""10.9365793""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Xe,1,"=""10323.9""","=""0.2""","=""10324.8+""","=""1.1""","=""20""","=""""",,"=""11.3751242""","=""12.57563""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L4103""",
Fe,2,"=""10324.463""","=""0.002""","=""10324.4620""","=""0.0012""","=""1.6""","=""""",,"=""12.8207506""","=""14.0212996""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""","=""3d6.(5D<4>).5g""","=""2[2]""","=""5/2""",,"=""""","=""L18349c139""",
Pr,3,"=""10324.59""","=""0.10""","=""""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2466""",
Cr,1,"=""10325.118""","=""0.007""","=""10325.1191""","=""0.0015""","=""8""","=""""",,"=""4.41047990""","=""5.61095253""","=""3d6""","=""c 5D""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""3""",,"=""""","=""L14866""",
Ar,2,"=""10325.34""","=""0.03""","=""10325.3630""","=""0.0004""","=""1""","=""""",,"=""18.06063988""","=""19.261084163""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",,"=""""","=""L14821""",
Fe,2,"=""10325.791""","=""0.004""","=""10325.8035""","=""0.0012""","=""1.2""","=""""",,"=""12.8188939""","=""14.0192870""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""","=""3d6.(5D<4>).5g""","=""2[3]""","=""5/2""",,"=""""","=""L18349c148""",
Th,1,"=""10326.440""","=""0.003""","=""10326.4352""","=""0.0003""","=""0""","=""""",,"=""2.79161383""","=""3.99193347""","=""6d4""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L2351""",
Ar,2,"=""10326.62""","=""0.03""","=""10326.6331""","=""0.0004""","=""0.5""","=""""",,"=""23.67388033""","=""24.87417696""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).6s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Hf,1,"=""10327.0""","=""0.5""","=""""","=""""","=""220""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L21571c196""",
Ne,2,"=""10327.17""","=""0.02""","=""10327.193""","=""0.005""","=""22""","=""""",,"=""38.1996861""","=""39.3999177""","=""2s2.2p4.(1D).4s""","=""2D""","=""5/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L1406""",
Se,1,"=""10327.26""","=""0.10""","=""""","=""""","=""900""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
Sr,2,"=""10327.309""","=""0.003""","=""10327.311""","=""0.015""","=""100000""","=""8.7e+06""",C+,"=""1.8394593""","=""3.0396772""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.5p""","=""2P*""","=""3/2""",,"=""T1181""","=""L7362,L2631""",
Fe,1,"=""10327.313""","=""0.009""","=""10327.3225""","=""0.0015""","=""15""","=""""",,"=""5.53924278""","=""6.73945929""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d7.(4F).5p""","=""3G*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""10327.313""","=""0.003""","=""10327.3363""","=""0.0009""","=""1.3bl(Fe I)""","=""""",,"=""10.9868006""","=""12.1870155""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""""","=""L18349c148""",
Cs,2,"=""10327.5270""","=""0.0014""","=""10327.5244""","=""0.0015""","=""6600""","=""""",,"=""19.39217465""","=""20.59236769""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L12126""",
Ne,2,"=""10327.580""","=""0.003""","=""10327.578""","=""0.005""","=""180*""","=""""",,"=""38.1997309""","=""39.3999177""","=""2s2.2p4.(1D).4s""","=""2D""","=""3/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L5951""",
Ne,2,"=""10327.580""","=""0.003""","=""10327.580""","=""0.004""","=""180*""","=""""",,"=""38.1996861""","=""39.3998727""","=""2s2.2p4.(1D).4s""","=""2D""","=""5/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""5/2""",,"=""""","=""L5951""",
O,2,"=""10327.66""","=""0.10""","=""10327.72""","=""0.10""","=""3""","=""""",,"=""31.7568211""","=""32.956991""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<1>).5g""","=""2[5]""","=""11/2""",,"=""""","=""L6336""",
Th,1,"=""10327.836""","=""0.003""","=""10327.8380""","=""0.0003""","=""0""","=""""",,"=""3.058036741""","=""4.25819334""","=""5f.6d.7s.7p""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L2351""",
Be,1,"=""10331.03""","=""0.02""","=""10331.03""","=""0.03""","=""5*""","=""4.19e+03""",B,"=""7.6936830""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""10331.03""","=""0.02""","=""10331.03""","=""0.03""","=""5*""","=""1.05e+05""",B,"=""7.6936830""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""1""",,"=""u28""","=""L483""",
Be,1,"=""10331.03""","=""0.02""","=""10331.04""","=""0.03""","=""5*""","=""6.28e+04""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""10331.03""","=""0.02""","=""10331.037""","=""0.021""","=""5*""","=""3.51e+05""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6p""","=""3P*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""10331.03""","=""0.02""","=""10331.04""","=""0.03""","=""5*""","=""3.14e+05""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""1""",,"=""u28""","=""L483""",
Be,1,"=""10331.03""","=""0.02""","=""10331.06""","=""0.05""","=""5*""","=""4.19e+05""",B,"=""7.6936830""","=""8.893466""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0""",,"=""u28""","=""L483""",
Hg,1,"=""10332.3""","=""0.4""","=""10332.5""","=""0.3""","=""10""","=""""",,"=""8.8563376""","=""10.05595""","=""5d10.6s.6d""","=""3D""","=""3""","=""5d10.6s.7f""","=""3F*""","=""4""",,"=""""","=""L15167c86""",
