element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""9155.8225""","=""0.0005""","=""9155.8241""","=""0.0005""","=""170""","=""7.7e+06""",B+,"=""9.7359140""","=""11.0896991""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9155.9443""","=""0.0008""","=""9155.94466""","=""0.00009""","=""51""","=""""",,"=""2.347057245""","=""3.700824493""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L5951""",
O,1,"=""9156.01""","=""0.10""","=""9156.010+""","=""0.012""","=""235""","=""""",,"=""14.0467669""","=""15.4005245""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""4""",,"=""""","=""L3760""",
Ar,2,"=""9156.0492""","=""0.0007""","=""9156.04907""","=""0.00026""","=""27""","=""""",,"=""23.438088809""","=""24.791840619""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""4D""","=""5/2""",,"=""""","=""L11520""",
Th,1,"=""9156.1873""","=""0.0004""","=""9156.18732""","=""0.00009""","=""120""","=""""",,"=""2.151700954""","=""3.505432323""","=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Fe,1,"=""9156.206""","=""0.003""","=""9156.2065""","=""0.0012""","=""65""","=""""",,"=""3.01762252""","=""4.37135106""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d7.(4F).4p""","=""z 5G*""","=""4""",,"=""""","=""L11631""",
V,1,"=""9156.571""","=""0.003""","=""9156.5704""","=""0.0013""","=""22000""","=""1.7e+05""",C+,"=""1.8726306""","=""3.22630528""","=""3d3.4s2""","=""a 2H""","=""9/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 2G*""","=""7/2""",,"=""T9399""","=""L15916""",
Th,1,"=""9156.9231""","=""0.0008""","=""9156.92463""","=""0.00013""","=""46""","=""""",,"=""1.731131837""","=""3.084754205""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
Fe,1,"=""9157.081""","=""0.003""","=""9157.0829""","=""0.0012""","=""204""","=""""",,"=""4.98804995""","=""6.34164892""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,"=""""","=""L11631""",
Th,2,"=""9157.4213""","=""0.0007""","=""9157.4217""","=""0.0005""","=""55""","=""""",,"=""1.77909747""","=""3.13264637""","=""6d3""","=""4P""","=""1/2""","=""5f.(2F*).6d2.(3F)""","=""*""","=""1/2""",,"=""""","=""L5951""",
Fe,2,"=""9157.717""","=""0.003""","=""9157.7321""","=""0.0015""","=""6""","=""""",,"=""11.6347274""","=""12.9882304""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""","=""3d6.(5D).5d""","=""6D""","=""1/2""",,"=""""","=""L18349c145""",
